1, Lots of Text, 0, Free Plan Templates, Intro, 26 seconds, Free, TextOnly, NULL
66, Gaming XL3, 8, Intro, Intro, 10 seconds, Personal, ImagesLegacy, NULL
67, White Angle, 6, Intro, Intro, 10 seconds, Personal, ImagesLegacy, NULL
68, Pro Solutions Ad, 25, Ads, Promo, 30 seconds, Expert, ImagesLegacy, NULL
69, BigCity Intro, 6, Intro, Intro, 10 seconds, Personal, ImagesLegacy, NULL
70, CubePop Intro, 6, Intro, Intro, 11 seconds, Personal, ImagesLegacy, NULL
71, Explainer ProA, 30, Pro Templates, Promo, Variable Timing, Business, Slides, NULL
73, Explainer ProB, 30, Pro Templates, Promo, Variable timing, Business, Slides, NULL
76, City HQ Intro, 8, Intro, Intro, 10 seconds, Expert, ImagesLegacy, NULL
77, Glamour Intro, 8, Intro, Intro, 10 seconds, Personal, ImagesLegacy, NULL
78, Cat Ad Pro, 30, Ads, Ads, 30 seconds, Expert, TextOnlyLegacy, NULL
79, Flex Intro, 8, Intro, Intro, 10 seconds, Expert, TextOnlyLegacy, NULL
81, CityHQ Pro, 30, Pro Templates, Promo, Variable Timing, Expert, Slides, NULL
82, Problem Ad, 40, Ads, Ads, 30 seconds, Business, ImagesLegacy, NULL
83, Stellar Intro, 8, Intro, Intro, 13 seconds, Expert, TextOnlyLegacy, NULL
84, Xform Intro, 10, Intro, Intro, 10 seconds, Expert, TextOnlyLegacy, NULL
85, Compete Intro, 10, Intro, Intro, 10 seconds, Expert, ImagesLegacy, NULL
86, Wealth Intro, 8, Intro, Intro, 10 seconds, Expert, ImagesLegacy, NULL
87, Groundbreaking Intro, 8, Intro, Intro, 10 seconds, Personal, ImagesLegacy, NULL
88, Splash Intro, 8, Intro, Intro, 12 seconds, Personal, TextOnlyLegacy, NULL
89, Gallery HQ, 10, Slideshow, Slideshow, 60 seconds, Expert, ImagesLegacy, NULL
90, SkyWall Intro, 8, Intro, Intro, 10 seconds, Personal, ImagesLegacy, NULL
91, Earth Intro, 10, Intro, Intro, 12 seconds, Personal, TextOnlyLegacy, NULL
92, Slideshow Flex, 8, Slideshow, Promo, 54 seconds, Expert, ImagesLegacy, NULL
93, Tech Cubes Intro, 12, Intro, Intro, 13 seconds, Expert, ImagesLegacy, NULL
94, Groundbreak II Intro, 12, Intro, Intro, 15 seconds, Expert, ImagesLegacy, NULL
95, Pro Presenter Demo, 0, Free Plan Templates, Free Plan Templates, Flexible, Free, Slides, NULL
96, Image Impact Intro, 7, Intro, Intro, 5 Seconds, Personal, ImagesLegacy, NULL
98, Fire Intro VF, 8, Intro, Intro, 7 seconds, Personal, TextOnlyLegacy, NULL
102, Live City Intro, 7, Intro, Intro, 7 seconds, Expert, ImagesLegacy, NULL
105, Speed Intro, 8, Intro, Intro, 10 Seconds, Expert, ImagesLegacy, NULL
106, Christmas Pro, 30, Pro Templates, Pro Templates, Flexible, Expert, Slides, NULL
108, Inferno Pro, 20, Pro Templates, Promo, Flexible, Expert, Slides, NULL
111, Breaking Free Intro, 0, Free Plan Templates, Intro, 10 Seconds, Free, Images, NULL
112, Zombie Gaming Intro, 10, Intro, Intro, 11 Seconds, Personal,ImagesLegacy, NULL
113, Multi-Actor Pro, 70, Pro Templates, Ads, Flexible, Business, Slides, NULL
114, Question Ads, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, NULL
115, AutoSales Ad, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
116, RealEstate Buying, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
117, RealEstate Selling, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
118, Hair Salon Ad, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
119, Chiropractor Ad, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
120, Dentist Ad, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
121, Martial Arts School, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
122, Financial Services, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
123, Eye Care Ad, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
124, Event Planning Ad, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
125, Beauty And Spa Ad, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
126, Cleaning Service Ad, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
127, Automotive Services, 70, Ads, Ads, 30 Seconds, Business, ImagesLegacy, 114
128, Big City Intro, 8, Intro, Intro, 8 Seconds, Expert,ImagesLegacy, NULL
129, Spacer Intro, 8, Intro, Intro, 13 Seconds, Personal,TextOnlyLegacy, NULL
130, Antigravity Intro, 10, Intro, Intro, 12 Seconds, Expert,TextOnlyLegacy, NULL
131, Space Spinner Intro, 8, Intro, Intro, 12 Seconds, Expert,TextOnlyLegacy, NULL
132, Vocal Presenter Promo, 15, Ads, Promo, 45 Seconds, Expert,TextOnly, NULL
133, Image Flipper Intro, 9, Intro, Intro, 12 Seconds, Expert,ImagesLegacy, NULL
134, Cinematic Voice Intro, 10, Intro, Intro, 13 Seconds, Expert,TextOnly, NULL
135, Supernova Intro, 8, Intro, Intro, 13 Seconds, Personal,Images, NULL
